"State","NAICS.id","All establishments","Establishments not operated for the entire year","Establishments operated for the entire year","Score","NAICS.display-label","RCPTOT","PAYANN","PAYQTR1","EMP","ADMIN_PCT","IMPUT_PCT"
"AL","441222",76,3,73,540.5,"Boat dealers","181834","14949","3230","455","27.6","4.6"
"AL","441228",114,12,99,804.5,"Motorcycle, ATV, and all other motor vehicle dealers","390393","39188","8944","1069","22.1","4.4"
"AL","4413",1248,72,1161,8994.5,"Automotive parts, accessories, and tire stores","1424243","240074","60743","9702","25.5","4.8"
"AL","44131",810,43,763,5963,"Automotive parts and accessories stores","859197","136717","34714","6488","20.0","2.4"
"AL","441310",810,43,763,5963,"Automotive parts and accessories stores","859197","136717","34714","6488","20.0","2.4"
"AL","44132",438,35,398,3031.5,"Tire dealers","565046","103357","26029","3214","33.9","8.4"
"AL","441320",438,35,398,3031.5,"Tire dealers","565046","103357","26029","3214","33.9","8.4"
"AL","442",965,72,858,5744,"Furniture and home furnishings stores","1091443","156730","39508","6587","20.1","6.3"
"AL","4421",502,52,438,3083.25,"Furniture stores","589298","87417","22161","3108","26.0","7.4"
"AL","44211",502,52,438,3083.25,"Furniture stores","589298","87417","22161","3108","26.0","7.4"
"AL","442110",502,52,438,3083.25,"Furniture stores","589298","87417","22161","3108","26.0","7.4"
"AL","4422",463,32,420,2660.75,"Home furnishings stores","502145","69313","17347","3479","13.3","5.2"
"AL","44221",192,14,177,1220.75,"Floor covering stores","209681","31727","7728","972","19.5","6.2"
"AL","442210",192,14,177,1220.75,"Floor covering stores","209681","31727","7728","972","19.5","6.2"
"AL","44229",271,22,243,1440,"Other home furnishings stores","292464","37586","9619","2507","8.9","4.4"
"AL","442291",14,2,11,55.5,"Window treatment stores","7029","1282","300","46","48.5","0.1"
"AL","442299",257,21,232,1384.5,"All other home furnishings stores","285435","36304","9319","2461","8.0","4.5"
"AL","443",647,57,570,3425,"Electronics and appliance stores","1048995","108821","26395","4746","11.6","4.7"
"AL","4431",647,57,570,3425,"Electronics and appliance stores","1048995","108821","26395","4746","11.6","4.7"
"AL","44314",647,57,570,3425,"Electronics and appliance stores","1048995","108821","26395","4746","11.6","4.7"
